val1, val2, val3, difficulty, topic
linear equation, two variables, solution graph, advanced, mathematics
quadratic equation, real roots, discriminant value, advanced, mathematics
polynomial expression, degree value, zero condition, advanced, mathematics
factor theorem, polynomial division, remainder relation, advanced, mathematics
coordinate geometry, cartesian plane, ordered pair, advanced, mathematics
distance formula, coordinate points, length measure, advanced, mathematics
midpoint formula, line segment, coordinate average, advanced, mathematics
area triangle, determinant method, coordinate vertices, advanced, mathematics
surface area, solid figures, curved surfaces, advanced, mathematics
volume solids, cylinder cone, sphere shapes, advanced, mathematics
trigonometric ratios, sine cosine, tangent values, advanced, mathematics
trigonometric identities, standard angles, value verification, advanced, mathematics
height distance, angle elevation, line sight, advanced, mathematics
statistics data, frequency table, grouped distribution, advanced, mathematics
mean calculation, assumed method, step deviation, advanced, mathematics
probability theory, sample space, favorable outcomes, advanced, mathematics
arithmetic progression, common difference, nth term, advanced, mathematics
geometric concepts, parallel lines, transversal angles, advanced, mathematics
circle theorem, tangent property, chord relation, advanced, mathematics
herons formula, triangle sides, semi perimeter, advanced, mathematics
real numbers, euclid lemma, prime factorization, advanced, mathematics
laws exponents, power rules, index notation, advanced, mathematics
rational numbers, decimal expansion, terminating form, advanced, mathematics
inequalities algebra, number line, solution region, advanced, mathematics
graph plotting, coordinate axes, straight lines, advanced, mathematics
similar triangles, proportional sides, angle equality, advanced, mathematics
pythagoras theorem, right triangle, hypotenuse relation, advanced, mathematics
congruence rules, side angle side, triangle equality, advanced, mathematics
construction geometry, compass usage, accurate diagrams, advanced, mathematics
linear graph, slope interpretation, intercept points, advanced, mathematics
matter states, solid liquid, gas particles, basic, science
physical change, reversible process, no new substance, basic, science
chemical change, new substance, irreversible reaction, basic, science
atomic structure, nucleus electrons, proton neutron, advanced, science
periodic table, element groups, atomic trends, advanced, science
valency concept, combining capacity, chemical bonding, advanced, science
molecules compounds, chemical formula, fixed ratio, advanced, science
laws motion, inertia principle, force relation, advanced, science
force pressure, area effect, applied force, advanced, science
gravitation law, universal attraction, mass distance, advanced, science
work energy, kinetic potential, energy transfer, advanced, science
power concept, rate work, energy usage, advanced, science
sound waves, longitudinal motion, vibration medium, advanced, science
light reflection, mirror laws, angle incidence, advanced, science
refraction light, bending rays, optical density, advanced, science
human eye, retina image, vision defects, advanced, science
electric current, circuit flow, charge movement, advanced, science
ohm law, resistance relation, voltage current, advanced, science
magnetic effects, current wire, magnetic field, advanced, science
electromagnetism basics, coil current, induced magnetism, advanced, science
sources energy, renewable nonrenewable, conservation need, advanced, science
natural resources, water air, sustainable use, basic, science
tissues biology, plant animal, structural function, advanced, science
cell structure, organelles functions, life unit, advanced, science
nutrition plants, photosynthesis process, glucose formation, advanced, science
respiration process, energy release, cellular activity, advanced, science
transport plants, xylem phloem, water movement, advanced, science
control coordination, nervous system, hormonal response, advanced, science
reproduction types, asexual sexual, species continuity, advanced, science
heredity evolution, genetic traits, variation survival, advanced, science
whole numbers, natural counting, number system, basic, mathematics
fractions basics, equal parts, numerator denominator, basic, mathematics
decimal numbers, place value, tenths hundredths, basic, mathematics
ratio concept, comparison quantities, proportional thinking, basic, mathematics
percentage basics, hundred value, fraction conversion, basic, mathematics
simple interest, principal rate, time period, basic, mathematics
profit loss, cost price, selling price, basic, mathematics
angles basics, acute obtuse, right angle, basic, mathematics
triangles basics, three sides, closed figure, basic, mathematics
quadrilateral shapes, four sides, polygon figure, basic, mathematics
circle basics, curved boundary, center point, basic, mathematics
perimeter concept, boundary length, shape outline, basic, mathematics
area basics, surface region, square units, basic, mathematics
volume basics, space occupied, cubic units, basic, mathematics
symmetry basics, mirror line, balanced halves, basic, mathematics
patterns numbers, repeating sequence, logical order, basic, mathematics
data handling, bar graph, pictorial charts, basic, mathematics
measurement basics, length mass, capacity units, basic, mathematics
time calculation, hours minutes, clock reading, basic, mathematics
temperature scale, celsius reading, heat measurement, basic, mathematics
living organisms, classification groups, biological diversity, basic, science
plant kingdom, classification basis, characteristics grouping, basic, science
animal kingdom, vertebrates invertebrates, classification types, basic, science
microorganisms study, useful harmful, bacteria fungi, basic, science
food production, agriculture practices, crop yield, basic, science
soil types, sandy clayey, loamy soil, basic, science
water resources, conservation methods, usage balance, basic, science
air composition, gases mixture, oxygen nitrogen, basic, science
weather climate, atmospheric changes, seasonal patterns, basic, science
force examples, push pull, motion change, basic, science
energy forms, light heat, sound energy, basic, science
simple machines, lever pulley, inclined plane, basic, science
friction force, opposing motion, surface contact, basic, science
heat transfer, conduction convection, radiation modes, basic, science
sound basics, vibration source, wave travel, basic, science
light basics, straight path, shadow formation, basic, science
magnet basics, attraction poles, magnetic materials, basic, science
electricity basics, battery wire, simple circuit, basic, science
environment study, pollution types, conservation awareness, basic, science
ecosystem basics, living nonliving, interaction balance, basic, science